X,Y,OBJECTID,PID,NAME,ADDRESS,CIVICCODE
-79.959841149248419,32.789215360604764,112,4600000013,Headquarters,180 Lockwood Blvd,POLICE
-79.976435666035258,32.761947771494086,115,4240100005,Team 3,1739 Maybank Hwy,POLICE
-79.908324506062129,32.859347396691831,107,2750000177,Team 5,235 Seven Farms Dr,POLICE
-79.94629182293896,32.8048079358704,113,,Team 1,645 Meeting St,POLICE
-79.930382987113475,32.7868891531092,114,,Team 2,2 George St,POLICE
-80.071338805269676,32.830994456603541,116,,Team 4,1985 Bees Ferry,POLICE
-79.945938721713802,32.811216657310581,186,,Team 7,62 Brigade St,POLICE
